Date,Open,High,Low,Close,Volume
2018-02-08,49.639999,49.709999,43.27,43.27,221900
2018-02-09,45.599998,46.43,41.93,45.360001,236500
2018-02-12,47.43,48.389999,45.134998,47.450001,201500
2018-02-13,47.049999,48.439999,46.450001,47.990002,154400
2018-02-14,47.310001,50.48,47.009998,50.369999,209300
2018-02-15,51.599998,53.84,51.291,53.84,278100
2018-02-16,54,55.178001,53.348,54.150002,259600
2018-02-20,53,54.59,52.200001,52.740002,166000
2018-02-21,52.849998,55.380001,52.740002,52.869999,202900
2018-02-22,54.560001,54.560001,53,53.209999,102900
2018-02-23,54.400002,54.400002,52.650002,54.299999,119900
2018-02-26,55.09,56.188999,54.589001,55.853001,221300
2018-02-27,56.16,57,54.209999,54.209999,161400
2018-02-28,55.490002,56.819,53.928001,53.970001,173100
2018-03-01,53.970001,54.166,49.610001,50.529999,380300
2018-03-02,49,51.564999,48.101002,51.240002,201200
2018-03-05,50.32,52.860001,49.32,52.439999,143400
2018-03-06,54.060001,54.060001,51.132999,52.080002,144700
2018-03-07,49.709999,52.950001,49.709999,52.720001,102300
2018-03-08,53.09,53.349998,51.869999,53.169998,106800
2018-03-09,54.5,55.509998,53.139999,55.509998,159500
2018-03-12,55.990002,55.990002,52.397999,52.709999,190600
2018-03-13,53.049999,53.987999,51.77,52.240002,125900
2018-03-14,52.73,52.93,49.161999,50.509998,196400
2018-03-15,51.610001,51.610001,49.25,50.419998,75300
2018-03-16,50.630001,50.700001,49.68,50.009998,57900
2018-03-19,49.220001,50.522999,48.759998,50.290001,102800
2018-03-20,50.889999,52.265999,50.546001,51.48,99100
2018-03-21,51.599998,53.07,50.779999,51.799999,73500
2018-03-22,51.099998,51.099998,47.060001,47.290001,141200
2018-03-23,47.209999,50.729,47.009998,47.630001,264200
2018-03-26,50.860001,51.380001,49.018002,51.27,185100
2018-03-27,52.18,52.490002,48,48.959999,172700
2018-03-28,48.799999,49.444,46.779999,47.630001,124800
2018-03-29,47.66,50.644001,47.66,49.759998,100000
2018-04-02,49.5,49.669998,45.633999,47.369999,151400
2018-04-03,47.84,49.279999,47.41,49.259998,88600
2018-04-04,45.25,50.169998,45.099998,50,103300
